x,y,z
-13.8004,8.7064,-136.102
-13.7982,8.71117,-136.106
-13.7982,8.71117,-136.106
-13.7964,8.70925,-136.105
-13.7964,8.70925,-136.105
-13.7951,8.71011,-136.104
-6.81126,12.1856,-146.584
-6.81086,12.1858,-146.581
-11.3394,16.9814,-146.753
-11.3375,16.9828,-146.749
-11.3349,16.9818,-146.75
-11.334,16.9817,-146.745
-11.3311,16.9819,-146.747
-9.28139,8.98544,-140.731
-9.28182,8.98593,-140.728
-10.0344,16.2363,-147.249
-10.0312,16.2362,-147.25
-10.0312,16.2362,-147.25
-10.0294,16.2389,-147.249
-10.0294,16.2389,-147.249
-10.0322,16.2415,-147.248
-10.0322,16.2415,-147.248
-10.0322,16.2415,-147.248
-10.0303,16.2429,-147.249
-10.0289,16.2422,-147.248
-10.0289,16.2422,-147.248
-10.0325,16.2388,-147.241
-10.0325,16.2388,-147.241
-10.0317,16.2426,-147.244
-10.0275,16.2389,-147.242
-11.4571,8.9402,-138.45
-11.4576,8.94009,-138.447
-12.3705,16.2488,-144.738
-12.3661,16.2481,-144.738
-12.3658,16.2475,-144.735
-14.0723,10.7692,-137.496
-14.072,10.7709,-137.496
-12.4273,14.9629,-143.352
-12.4272,14.9643,-143.349
-12.4272,14.9643,-143.349
-12.4266,14.9632,-143.347
-12.4228,14.9639,-143.35
-12.4226,14.9646,-143.349
-12.426,14.9655,-143.347
-14.3698,9.88574,-136.2
-14.3704,9.88609,-136.198
-9.97163,16.5739,-147.343
-9.97005,16.5742,-147.343
-9.06409,9.01563,-140.635
-9.06579,9.01627,-140.633
-9.06579,9.01627,-140.633
-13.1703,8.57529,-136.024
-13.1714,8.57525,-136.022
-12.3197,16.9765,-145.211
-12.3156,16.9761,-145.211
-7.11195,13.5573,-147.032
-12.3109,16.9773,-145.21
-7.11178,13.5601,-147.031
-12.3717,13.8012,-141.922
-12.3715,13.8043,-141.921
-12.365,13.7971,-141.919
-12.3714,13.8033,-141.919
-12.3714,13.8033,-141.919
-12.3676,13.8014,-141.92
-12.3713,13.8028,-141.911
-12.37,13.8047,-141.914
-9.91256,16.906,-147.436
-9.90958,16.9066,-147.438
-9.90958,16.9066,-147.438
-9.9114,16.9106,-147.437
-9.90912,16.9076,-147.434
-10.9702,9.07418,-138.394
-10.9717,9.07484,-138.388
-10.9717,9.07484,-138.388
-10.9734,9.08106,-138.389
-10.9735,9.08186,-138.39
-10.9727,9.08089,-138.387
-14.4467,10.5348,-136.22
-14.4467,10.5348,-136.22
-14.4466,10.5349,-136.216
-14.4444,10.5385,-136.221
-14.4457,10.5364,-136.217
-12.3697,15.6023,-143.394
-12.3694,15.6029,-143.393
-12.5426,8.44444,-135.94
-12.5426,8.44444,-135.94
-12.5444,8.44479,-135.937
-12.5425,8.44941,-135.94
-12.5425,8.44941,-135.94
-12.5417,8.44967,-135.94
-12.5417,8.44967,-135.94
-12.5413,8.4512,-135.939
-10.6386,9.11916,-138.36
-10.6394,9.11896,-138.357
-14.5797,9.16396,-134.376
-14.5748,9.1647,-134.375
-14.0837,8.73123,-134.322
-14.0837,8.73123,-134.322
